,DADRI_GF,DADRI_GF,DADRI_GF,DADRI_GF,DADRI_RF,DADRI_RF,DADRI_RF,DADRI_RF,DADRI_CRF,DADRI_CRF,DADRI_CRF,DADRI_CRF,DADRI_LF,DADRI_LF,DADRI_LF,DADRI_LF,Total,Total,Total,Total,Block_time,Block_time,Revision,Revision,Revision
,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,block_start,block_stop,revnumber,revdate,revtime
48,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,12:00,12:15,,,
49,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,12:15,12:30,,,
50,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,12:30,12:45,,,
51,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,12:45,13:00,,,
52,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,13:00,13:15,,,
53,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,13:15,13:30,,,
54,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,13:30,13:45,,,
55,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,13:45,14:00,,,
56,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,14:00,14:15,,,
57,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,14:15,14:30,,,
